Removed Pin From Net: NetName=POWER_INPUT Pin=C36-1
Removed Pin From Net: NetName=GND Pin=C36-2
Removed Pin From Net: NetName=POWER_INPUT Pin=C38-1
Removed Pin From Net: NetName=GND Pin=C38-2
Removed Pin From Net: NetName=POWER_INPUT Pin=C57-1
Removed Pin From Net: NetName=GND Pin=C57-2
Removed Member From Class: ClassName=U_POWER Member=C36
Removed Member From Class: ClassName=U_POWER Member=C38
Removed Member From Class: ClassName=U_POWER Member=C57
Change Component Footprint: Designator=C35 Old Footprint=FP-CL31-IPC_B New Footprint=FP-C0603C-CF-IPC_B
Change Component Comment : Designator=C35 Old Comment=CL31A106KBHNNNE New Comment=C0603C104M5RACTU
Change Managed Component Library Link : Designator=C35 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=48229CE1-F8A1-4987-856C-2E2CBEC568B8 New ItemGUID=D369456D-4E53-4649-985A-32038B019154 Old RevisionGUID=197FF788-79AD-418C-9CB8-2413F8F50647 New RevisionGUID=61D640C2-B72F-4694-BE81-61808F26BEFB
Change component parameters: Designator = "C35" ("C35"); Footprint = "FP-CL31-IPC_B"; UniqueID = "\ERIEZPCJ\SQVEXMLB" ("\ERIEZPCJ\SQVEXMLB")
Change component parameters (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Grade"; Value = "Grade 1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "0.10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C100J5GACAUTO.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CAP CER 0.1UF 50V 20% X7R 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.87mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104M5RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.1uF X7R 20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0603c104m5ractu-kemet-11855687"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "C0603C-CF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristic"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100 nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Added Member To Class: ClassName=U_POWER Member=Component C87 GRM21BR6YA106KE43L
Added Member To Class: ClassName=U_POWER Member=Component C96 GCM188R71E105KA64D
