Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\cpc-unifei\Project Outputs for CPC-UNIFEI\Pick Place for PCB(Variant of CPC-UNIFEI).csv

========================================================================================================================
File Design Information:

Date:       27/06/24
Time:       19:13
Revision:   d23476da068a97b48219a3030284adac1614783b
Variant:    Variant of CPC-UNIFEI
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R70","AC0603FR-0749R9L","TopLayer","FP-AC0603-IPC_B","6122.989","3496.063","0","RES 49.9O 1.00% 0.1W 0603"
"R69","AC0603FR-0749R9L","TopLayer","FP-AC0603-IPC_B","6122.989","3409.449","0","RES 49.9O 1.00% 0.1W 0603"
"R68","AC0603FR-0749R9L","TopLayer","FP-AC0603-IPC_B","6122.072","3673.229","0","RES 49.9O 1.00% 0.1W 0603"
"R67","AC0603FR-0749R9L","TopLayer","FP-AC0603-IPC_B","6122.989","3582.677","0","RES 49.9O 1.00% 0.1W 0603"
"FID3","FIDUCIAL","TopLayer","FIDUCIAL","0.000","0.000","90",""
"FID2","FIDUCIAL","TopLayer","FIDUCIAL","0.000","0.000","90",""
"FID1","FIDUCIAL","TopLayer","FIDUCIAL","0.000","0.000","90",""
"J8","1803484","TopLayer","PHOENIX_1803484","4716.535","4535.433","0",""
"R66","CRCW06030000Z0EAHP","TopLayer","FP-CRCW0603-HPe3-IPC_B","2334.646","3358.268","180","RES Thick Film, 0O, , 0.33W, , 0603"
"R64","CRCW06030000Z0EAHP","TopLayer","FP-CRCW0603-HPe3-IPC_B","6122.047","3885.827","0","RES Thick Film, 0O, , 0.33W, , 0603"
"R63","CRCW06030000Z0EAHP","TopLayer","FP-CRCW0603-HPe3-IPC_B","4417.323","3244.095","180","RES Thick Film, 0O, , 0.33W, , 0603"
"J11","1803484","TopLayer","PHOENIX_1803484","3348.425","4535.433","0",""
"J13","1803484","TopLayer","PHOENIX_1803484","4693.898","976.378","180",""
"J12","1803484","TopLayer","PHOENIX_1803484","3325.787","976.378","180",""
"J7","1803484","TopLayer","PHOENIX_1803484","1860.827","976.378","180",""
"J6","1803484","TopLayer","PHOENIX_1803484","976.378","1981.693","90",""
"J5","1803484","TopLayer","PHOENIX_1803484","976.378","3530.118","90",""
"J1","1803484","TopLayer","PHOENIX_1803484","1859.252","4535.433","0",""
"U2","TLV76733DGNR","TopLayer","SOP65P490X110-9N","6271.654","2192.913","0","Integrated Circuit"
"C36","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_B","6027.559","1244.094","90","CAP CER 10UF 50V X5R 1206"
"C87","GRM21BR6YA106KE43L","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","6133.858","1469.519","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 35V"
"C96","GCM188R71E105KA64D","TopLayer","FP-GCM188-0_1-IPC_B","6326.772","2307.087","180",""
"R122","CRCW0603150RFKEA","TopLayer","FP-CRCW0603-e3-IPC_B","5921.260","2618.110","180","RES Thick Film, 150O, 1%, 0.1W, 100ppm/°C, 0603"
"R62","RC0603FR-07511KL","TopLayer","RESC1608X55X25ML10T15","5519.685","1389.764","90",""
"R61","RC0603FR-07105KL","TopLayer","FP-RC0603-0_55-IPC_B","5444.882","1389.764","270","RES SMD 105K OHM 1% 1/10W 0603"
"R60","RC0603FR-0710KL","TopLayer","FP-RC0603-0_55-IPC_B","6571.783","1562.992","180","RES 10K OHM 1% 1/10W 0603"
"R59","CRCW060326K1FKEA","TopLayer","FP-CRCW0603-e3-IPC_B","6570.866","1492.126","180","RES Thick Film, 26.1kO, 1%, 0.1W, 100ppm/°C, 0603"
"R58","ERJ-3EKF3012V","TopLayer","FP-ERJ3EK-IPC_B","6517.750","1055.118","180","RES SMD 30.1K OHM 1% 1/10W 0603"
"R57","ERJ-3EKF6492V","TopLayer","RESC1608X55X30ML15T15","6381.890","1055.118","180",""
"R56","ERJ-3EKF6193V","TopLayer","RESC1608X55X30ML15T15","6248.032","1055.118","180",""
"R55","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.966","2716.532","0","RES 3kO 1.00% 0.1W 0603"
"R54","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.965","2783.465","0","RES 3kO 1.00% 0.1W 0603"
"R53","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.966","2649.603","0","RES 3kO 1.00% 0.1W 0603"
"R52","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.965","2850.394","0","RES 3kO 1.00% 0.1W 0603"
"R51","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.968","2582.674","0","RES 3kO 1.00% 0.1W 0603"
"R50","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.968","2917.323","0","RES 3kO 1.00% 0.1W 0603"
"R49","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.968","2515.745","0","RES 3kO 1.00% 0.1W 0603"
"R48","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.968","2984.252","0","RES 3kO 1.00% 0.1W 0603"
"R47","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.948","2381.909","0","RES 3kO 1.00% 0.1W 0603"
"R46","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.950","3117.091","0","RES 3kO 1.00% 0.1W 0603"
"R45","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.948","2448.838","0","RES 3kO 1.00% 0.1W 0603"
"R44","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.950","3050.162","0","RES 3kO 1.00% 0.1W 0603"
"R43","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.974","2248.032","0","RES 3kO 1.00% 0.1W 0603"
"R42","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.950","3249.048","0","RES 3kO 1.00% 0.1W 0603"
"R41","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.974","2314.961","0","RES 3kO 1.00% 0.1W 0603"
"R40","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1443.950","3182.119","0","RES 3kO 1.00% 0.1W 0603"
"R39","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1723.357","1961.575","90","RES 3kO 1.00% 0.1W 0603"
"R38","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1724.409","3528.476","270","RES 3kO 1.00% 0.1W 0603"
"R37","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1790.286","1961.575","90","RES 3kO 1.00% 0.1W 0603"
"R36","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1791.339","3528.476","270","RES 3kO 1.00% 0.1W 0603"
"R35","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1857.215","1961.578","90","RES 3kO 1.00% 0.1W 0603"
"R34","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1858.268","3528.473","270","RES 3kO 1.00% 0.1W 0603"
"R33","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1924.144","1961.578","90","RES 3kO 1.00% 0.1W 0603"
"R32","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1925.197","3528.473","270","RES 3kO 1.00% 0.1W 0603"
"R31","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1991.073","1961.581","90","RES 3kO 1.00% 0.1W 0603"
"R29","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","1992.126","3528.470","270","RES 3kO 1.00% 0.1W 0603"
"R28","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","2058.002","1961.581","90","RES 3kO 1.00% 0.1W 0603"
"R27","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","2059.055","3528.470","270","RES 3kO 1.00% 0.1W 0603"
"R20","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","2124.966","1961.547","90","RES 3kO 1.00% 0.1W 0603"
"R19","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","2125.983","3528.502","270","RES 3kO 1.00% 0.1W 0603"
"R18","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","2191.895","1961.547","90","RES 3kO 1.00% 0.1W 0603"
"R17","AC0603FR-073KL","TopLayer","FP-AC0603-IPC_B","2192.912","3528.502","270","RES 3kO 1.00% 0.1W 0603"
"D8","150060VS75000","TopLayer","WL-SMCW_0603_150060xx75000","5921.260","2555.118","0",""
"D7","150060VS75000","TopLayer","WL-SMCW_0603_150060xx75000","6775.591","1444.882","180",""
"D1","SMBJ30CA","TopLayer","DIOM5436X244N","5814.961","1208.661","0","TVS Diode (Bi-directional)"
